Normalised,Name,Role,Label
des joyce,Des Joyce,Councillor,Galway County Council
des o brien,Des O'Brien,Director of Services or Equivalent,Wicklow County Council
des o grady,Des O'Grady,Councillor,Cork County Council
dessie ellis,Dessie Ellis,TD,"Dáil Éireann, the Oireachtas"
dessie shiels,Dessie Shiels,Councillor,Donegal County Council
dianne nolan,Dianne Nolan,Councillor,Kerry County Council
diarmuid wilson,Diarmuid Wilson,Senator,Seanad
dick brady,Dick Brady,Director of Services or Equivalent,Dublin City Council
dinny mcginley,Dinny McGinley,TD,"Dáil Éireann, the Oireachtas"
dolores minogue,Dolores Minogue,Councillor,Louth County council
dominic hannigan,Dominic Hannigan,TD,"Dáil Éireann, the Oireachtas"
dominick connolly,Dominick Connolly,Councillor,Roscommon County Council
donagh mark killilea,Donagh Mark Killilea,Councillor,Galway County Council
donagh morgan,Donagh Morgan,Assistant Secretary,"Department of Transport, Tourism and Sport"
donal brennan,Donal Brennan,Director of Services or Equivalent,Laois County Council
donal burke,Donal Burke,Councillor,Galway County Council
donal carey,Donal Carey,TD,"Dáil Éireann, the Lower House of the Oireachtas"
donal de buitleir,Donal de Buitléir,Chairman,"Department of Jobs, Enterprise and Innovation"
donal grady,Donal Grady,Councillor,Kerry County Council
donall geoghegan,Dónall Geoghegan,Adviser to Minister,Department of the Taoiseach
donal lyons,Donal Lyons,Councillor,Galway City Council
donal sammin,Donal Sammin,Director of Laboratories,"Department of Agriculture, Food and the Marine"
donal smith,Donal Smith,Councillor,Dun Laoghaire-Rathdown County Council
donnchadh o laoghaire,Donnchadh Ó Laoghaire,Councillor,Cork County Council
don o connor,Don O'Connor,Assistant Secretaries or Equivalent Grades,"Department of Jobs, Enterprise and Innovation"
dorothy clarke,Dorothy Clarke,Director of Services or Equivalent,Sligo County Council
dr alan reilly,Dr Alan Reilly,Adviser to Minister,Department of Health
dr. cathal morgan,Dr. Cathal Morgan,Director of Operations,Department of Health
drew hurley,Drew Hurley,Director of Services or Equivalent,Monaghan County Council
dr john devlin,Dr John Devlin,Chief Medical Officer,Department of Health
dr orlaigh quinn,Dr Orlaigh Quinn,Secretary General,"Department of Jobs, Enterprise and Innovation"
dr sheila willis,Dr Sheila Willis,Director General,Department of Justice and Equality
dr tony holohan,Dr Tony Holohan,Chief Medical Officer,Department of Health
duncan smith,Duncan Smith,Councillor,Fingal County Council
eamon aylward,Eamon Aylward,Councillor,Kilkenny County Council
eamonn coghlan,Eamonn Coghlan,Senator,Seanad
eamonn confrey,Eamonn Confrey,Professional Officer II,"Department of Communications, Climate Action & Environment"
eamonn doherty,Eamonn Doherty,The Courts Service,The Courts Service
eamonn dooley,Eamonn Dooley,Councillor,Offaly County Council
eamonn gilmore,Eamonn Gilmore,TD,"Dáil Éireann, the Oireachtas"
eamonn hore,Eamonn Hore,Director of Services or Equivalent,Wexford County Council
eamonn maloney,Eamonn Maloney,TD,"Dáil Éireann, the Oireachtas"
eamonn mckee,Eamonn McKee,Assistant Secretary,Department of Foreign Affairs and Trade
eamonn molloy,Eamonn Molloy,Assistant Secretary,"Department of Communications, Energy and Natural Resources"
eamonn o dea,Eamonn O'Dea,Assistant Secretaries or Equivalent Grades,The Office of the Revenue Commissioners
eamonn o?dea,Eamonn O’Dea,Assistant Secretaries or Equivalent Grades,The Office of the Revenue Commissioners
eamonn o sullivan,Eamonn O'Sullivan,CEO,Monaghan County Council
eamon o cuiv,Eamon O Cuiv,TD,"Dáil Éireann, the Lower House of the Oireachtas"
eamon o sullivan,Eamon  O'Sullivan,CEO,Monaghan County Council
eamon quinlan,Eamon Quinlan,Councillor,Waterford and City Council
eamon ryan,Eamon Ryan,TD,Dáil Éireann
eamon scanlon,Eamon Scanlon,Councillor,Sligo County Council
eanna o conghaile,Eanna O'Conghaile,Adviser to Minister,"Department of Communications, Climate Action & Environment"
eddie conroy,Eddie Conroy,Director of Services or Equivalent,South Dublin County Council
eddie fitzpatrick,Eddie Fitzpatrick,Councillor,Offaly County Council
eddie mulligan,Eddie Mulligan,Councillor,Waterford and City Council
eddie o meara,Eddie O'Meara,Councillor,Tipperary County Council
eddie ryan,Eddie Ryan,Councillor,Limerick City and County Council
eddie taaffe,Eddie Taaffe,Director of Services or Equivalent,South Dublin County Council
edel corrigan,Edel Corrigan,Councillor,Louth County council
edel mccormack,Edel McCormack,Director of Services or Equivalent,Galway City Council
edel moran,Edel Moran,Councillor,Dublin City Council
ed hearne,Ed Hearne,Director of Services or Equivalent,Fingal County Council
edmund lukusa,Edmund Lukusa,Councillor,Fingal County Council
ed o brien,Ed O'Brien,Councillor,South Dublin County Council
edward brophy,Edward Brophy,Special Advisor,Department of Social Protection
edward timmins,Edward Timmins,Councillor,Wicklow County Council
eileen creedon,Eileen Creedon,Chief State Solicitor,The Office of the Chief State Solicitor
eileen gleeson,Eileen Gleeson,Director of Services or Equivalent,Dublin City Council
eileen mannion,Eileen Mannion,Councillor,Galway County Council
eileen quinlivan,Eileen Quinlivan,Director of Services or Equivalent,Dublin City Council
eileen ruane,Eileen Ruane,Director of Services or Equivalent,Galway City Council
eilis ryan,Éilis Ryan,Councillor,Dublin City Council
eimear fisher,Eimear Fisher,Assistant Secretary,Department of Children and Youth Affairs
eimer ferguson,Eimer Ferguson,Councillor,Meath County Council
eithne loftus,Eithne Loftus,Councillor,Fingal County Council
elaine gunn,Elaine Gunn,Assistant Secretary,"The Houses of the Oireachtas, Parliamentary Services Division"
elena secas,Elena Secas,Councillor,Limerick City and County Council
elizabeth canavan,Elizabeth Canavan,Assistant Secretary,Department of Children and Youth Affairs
elizabeth howlin,Elizabeth Howlin,Head of Directing Division,The Office of the Director of Public Prosecutions
emer higgins,Emer Higgins,Councillor,South Dublin County Council
emer o gorman,Emer O'Gorman,Director of Services or Equivalent,Louth County council
emily wallace,Emily Wallace,Councillor,Westmeath County Council
emma blain,Emma Blain,Councillor,Dun Laoghaire-Rathdown County Council
emma coffey,Emma Coffey,Councillor,Louth County council
emma murphy,Emma Murphy,Councillor,Dublin City Council
emmet stagg,Emmet Stagg,TD,"Dáil Éireann, the Oireachtas"
emmett o brien,Emmett O'Brien,Councillor,Limerick City and County Council
enda bonner,Enda Bonner,Councillor,Donegal County Council
enda fanning,Enda Fanning,Councillor,South Dublin County Council
enda flynn,Enda Flynn,Councillor,Meath County Council
enda kenny,Enda Kenny,Minister,Department of Defence
enda stenson,Enda Stenson,Councillor,Leitrim County Council
eoghan jeffers,Eoghan Jeffers,Councillor,Cork County Council
eoghan murphy,Eoghan Murphy,Minister of State,Department of Finance
eoghan o brien,Eoghan O'Brien,Councillor,Fingal County Council
eoin doyle,Eoin Doyle,Director of Services or Equivalent,Cavan County Council
eoin moran,Eoin Moran,Assistant Secretary,"Department of Housing, Planning and Local Government"
eoin o broin,Eoin O'Broin,Councillor,South Dublin County Council
eoin o leary,Eoin O'Leary,Assistant Secretary,Department of Foreign Affairs and Trade
eolan de burca,Eolan De Burca,Economic Adviser,"Dáil Éireann, the Oireachtas"
eric brady,Eric Brady,Director of Services or Equivalent,Department of Justice and Equality
eric byrne,Eric Byrne,TD,"Dáil Éireann, the Oireachtas"
ethna felten,Ethna Felten,Director of Services or Equivalent,Fingal County Council
eugene bannigan,Eugene Bannigan,Councillor,Monaghan County Council
eugene cassidy,Eugene Cassidy,Councillor,Meath County Council
eugene coppinger,Eugene Coppinger,Councillor,Fingal County Council
eugene creighton,Eugene Creighton,Assistant Secretaries or Equivalent Grades,The Office of the Revenue Commissioners
eugene cummins,Eugene Cummins,CEO,Monaghan County Council
eugene deering,Eugene Deering,Adviser to Minister,The Office of Public Works
eugene greenan,Eugene Greenan,Councillor,Cavan County Council
eugene murphy,Eugene Murphy,Councillor,Roscommon County Council
feargal o coigligh,Feargal Ó Coigligh,Assistant Secretary,"Department of Regional Development, Rural Affairs, Arts and the Gaeltacht"
feargal purcell,Feargal Purcell,Government Press Secretary,Department of the Taoiseach
feargal quinn,Feargal Quinn,Senator,Seanad
felim gurn,Felim Gurn,Councillor,Leitrim County Council
fergal black,Fergal Black,Director of Services or Equivalent,Department of Justice and Equality
fergal browne,Fergal Browne,Councillor,Carlow County Council
fergal curtin,Fergal Curtin,Councillor,Cavan County Council
fergal dennehy,Fergal Dennehy,Councillor,Cork City Council
fergal goodman,Fergal Goodman,Assistant Secretary,Department of Health
fergal lynch,Fergal Lynch,Secretary General,Department of Children and Youth Affairs
fergal o coigligh,Fergal O'Coigligh,Assistant Secretary,"Department of Arts, Heritage and the Gaeltacht"
fergie kehoe,Fergie Kehoe,Councillor,Wexford County Council
fergus o dowd,Fergus O'Dowd,TD,Dáil Éireann
fiach macconghail,Fiach MacConghail,Senator,Seanad
fidelis doherty,Fidelis Doherty,Councillor,Kilkenny County Council
fidelma healy eames,Fidelma Healy Eames,Senator,Seanad
finan mcgrath,Finan McGrath,Minister of State,Department of Social Protection
finbarr o?malley,Finbarr O’Malley,Special Advisor,"Department of Jobs, Enterprise and Innovation"
fingal county council - county hall,Fingal County Council - County Hall,Head of Unit,Fingal County Council
finian mcgrath,Finian McGrath,Minister of State,Department of Health
finola armstrong maguire,Finola Armstrong Maguire,Councillor,Leitrim County Council
fintan brett,fintan Brett,Councillor,Kildare County Council
fintan moran,Fintan Moran,Director of Services or Equivalent,Dublin City Council
fintan phelan,Fintan Phelan,Councillor,Carlow County Council
fintan towey,Fintan Towey,Assistant Secretary,"Department of Transport, Tourism and Sport"
fintan warfield,Fintan Warfield,Councillor,South Dublin County Council
fiona bonfield,Fiona Bonfield,Councillor,Tipperary County Council
fiona flood,Fiona Flood,Assistant Secretaries or Equivalent Grades,"Department of Jobs, Enterprise and Innovation"
fiona kerins,Fiona Kerins,Councillor,Cork City Council
fiona mcloughlin-healy,Fiona McLoughlin-Healy,Councillor,Kildare County Council
fiona o loughlin,Fiona O'Loughlin,Councillor,Kildare County Council
fiona quinn,Fiona Quinn,Assistant Secretary,"Department of Environment, Community and Local Government"
fiona ryan,Fiona Ryan,Councillor,Cork City Council
fiona tierney,Fiona Tierney,Chief Executive Officer,The Public Appointments Service
fionntan o suilleabhain,Fionntán Ó Súilleabháin,Councillor,Wexford County Council
foi unit - dept. social protection,FOI Unit - Dept. Social Protection,Head of Unit,Department of Finance
foi unit - dept. transport,FOI unit - Dept. Transport,Head of Unit,"Department of Transport, Tourism and Sport"
foi unit - office of revenue commissioner,FOI Unit - Office of Revenue Commissioner,Head of Unit,Department of Finance
frances black,Frances Black,Senator,Seanad
frances fitzgerald,Frances Fitzgerald,Minister,Department of Justice and Equality
frances spillane,Frances Spillane,Assistant Secretary,Department of Health
francis deane,Francis Deane,Councillor,Meath County Council
francis foley,Francis Foley,Councillor,Limerick City and County Council
francis noel duffy,Francis Noel Duffy,Councillor,South Dublin County Council
francis timmons,Francis Timmons,Councillor,South Dublin County Council
frank austin,Frank Austin,Director of Services or Equivalent,Dun Laoghaire-Rathdown County Council
frank curran,Frank Curran,Chief Executive Officer,Leitrim County Council
frank dolan,Frank Dolan,Councillor,Leitrim County Council
frank durcan,Frank Durcan,Councillor,Mayo County Council
frank fahy,Frank Fahy,Councillor,Galway City Council
frank feighan,Frank Feighan,Senator,Seanad
frank godfrey,Frank Godfrey,Councillor,Louth County council
frank groom,Frank Groom,"Director, Construction Contracts Adjudication Service","Department of Communications, Climate Action & Environment"
frank groome,Frank Groome,Professional Officer II,"Department of Communications, Climate Action & Environment"
frank heslin,Frank Heslin,Director of Services or Equivalent,Offaly County Council
frankie daly,Frankie Daly,Councillor,Limerick City and County Council
frankie keena,Frankie Keena,Councillor,Westmeath County Council
frank kearney,Frank Kearney,Councillor,Galway County Council
frank kennedy,Frank Kennedy,Councillor,Dublin City Council
frank mcbrearty,Frank McBrearty,Councillor,Donegal County Council
frank mcdermott,Frank McDermott,Councillor,Westmeath County Council
frank moran,Frank Moran,Councillor,Offaly County Council
frank nevin,Frank Nevin,Director of Services or Equivalent,South Dublin County Council
frank o flynn,Frank O'Flynn,Councillor,Cork County Council
frank o rourke,Frank O'Rourke,Councillor,Kildare County Council
frank pentony,Frank Pentony,Director of Services or Equivalent,Louth County council
frank staples,Frank Staples,Councillor,Wexford County Council
frank treacy,Frank Treacy,Interim Chief Executive Officer,The Property Registration Authority
gabriel cronnelly,Gabriel Cronnelly,Councillor,Galway County Council
gabriel keating,Gabriel Keating,Councillor,Clare County Council
gabrielle mcfadden,Gabrielle McFadden,Senator,Seanad
gail dunne,Gail Dunne,Councillor,Wicklow County Council
garry martin,Garry Martin,Director of Services or Equivalent,Donegal County Council
garry o?brien,Garry O’Brien,Director of Services or Equivalent,Fingal County Council
gary doherty,Gary Doherty,Councillor,Donegal County Council
gary gannon,Gary Gannon,Councillor,Dublin City Council
gary o donnchadha,Gary Ó Donnchadha,Assistant Secretary,Department of Education and Skills
gary o donnchadh,Gary Ó Donnchadh,Assistant Secretary,Department of Education and Skills
gary tobin,Gary Tobin,Assistant Secretary,Department of Finance
gaye fagan,Gaye Fagan,Councillor,Dublin City Council
ged nash,Ged Nash,Senator,Seanad
george burke,George Burke,Head of Unit,Department of the Taoiseach
george lawlor,George Lawlor,Councillor,Wexford County Council
gerald angley,Gerald Angley,Councillor,Department of Foreign Affairs and Trade
gerald dollard,Gerald Dollard,Director of Services or Equivalent,Clare County Council
geraldine fitzpatrick,Geraldine Fitzpatrick,Assistant Secretary,Department of Health
gerald mitchell,Gerald Mitchell,Councillor,Limerick City and County Council
gerald nash,Gerald Nash,Senator,Seanad
gerard barrett,Gerard Barrett,"Controller of Patents, Designs and Trade Marks","Department of Jobs, Enterprise and Innovation"
gerard craughwell,Gerard Craughwell,Senator,Seanad
gerard darcy,Gerard Darcy,Councillor,Tipperary County Council
gerard farrell,Gerard Farrell,Councillor,Longford County Council
gerard moran,Gerard Moran,Assistant Secretaries or Equivalent Grades,The Office of the Revenue Commissioners
gerard murphy,Gerard Murphy,Councillor,Cork County Council
gerard walker,Gerard Walker,Specialist,Department of Education and Skills
ger carthy,Ger Carthy,Councillor,Wexford County Council
ger deering,Ger Deering,Assistant Secretary,"Department of Environment, Community and Local Government"
ger finn,Ger Finn,CEO,Cavan County Council
ger frisby,Ger Frisby,Councillor,Kilkenny County Council
ger keohane,Ger Keohane,Councillor,Cork County Council
ger mullarkey,Ger Mullarkey,Director of Services or Equivalent,Galway County Council
gerry adams,Gerry Adams,TD,Dáil Éireann
gerry coyle,Gerry Coyle,Councillor,Mayo County Council
gerry crawford,Gerry Crawford,Councillor,Donegal County Council
gerry dolan,Gerry Dolan,Councillor,Leitrim County Council
gerry finnerty,Gerry Finnerty,Councillor,Galway County Council
gerry flynn,Gerry Flynn,Councillor,Clare County Council
gerry geraghty,Gerry Geraghty,Director of Services or Equivalent,Dublin City Council
gerry ginty,Gerry Ginty,Councillor,Mayo County Council
gerry harrahill,Gerry Harrahill,Commissioner,The Office of the Revenue Commissioners
gerry horkan,Gerry Horkan,Councillor,Dun Laoghaire-Rathdown County Council
gerry howard,Gerry Howard,Assistant Secretaries or Equivalent Grades,The Office of the Revenue Commissioners
gerry maguire,Gerry Maguire,Special Adviser,Department of Health
gerry mcmonagle,Gerry McMonagle,Councillor,Donegal County Council
gerry murphy,Gerry Murphy,Director of Services or Equivalent,Laois County Council
gerry murray,Gerry Murray,Councillor,Mayo County Council
gerry o?beirne,Gerry O’Beirne,Director of Services or Equivalent,Cork City Council
gerry o connor,Gerry O'Connor,Councillor,Meath County Council
gerry o neill,Gerry O'Neill,Councillor,Wicklow County Council
gerry raleigh,Gerry Raleigh,Director,Department of Health
gerry walsh,Gerry Walsh,Councillor,Wicklow County Council
gerry warnock,Gerry Warnock,Councillor,Longford County Council
gilbert power,Gilbert Power,Director of Services or Equivalent,Fingal County Council
gillian coughlan,Gillian Coughlan,Councillor,Cork County Council
gillian toole,Gillian Toole,Councillor,Meath County Council
gino kenny,Gino Kenny,Councillor,South Dublin County Council
gino o boyle,Gino O'Boyle,Councillor,Sligo County Council
gobnait moynihan,Gobnait Moynihan,Councillor,Cork County Council
gordon daly,Gordon Daly,Service Operations/Change Management,Limerick City and County Council
gordon rennick,Gordon Rennick,Professional Officer II,"Department of Agriculture, Food and the Marine"
grace o sullivan,Grace O'Sullivan,Senator,Seanad
grace tallon,Grace Tallon,Councillor,Dun Laoghaire-Rathdown County Council
graham doyle,Graham Doyle,Secretary General,"Department of Transport, Tourism and Sport"
graham russel,Graham Russel,Specialist,Louth County council
graham spring,Graham Spring,Councillor,Kerry County Council
grainne maguire,Grainne Maguire,Councillor,Fingal County Council
grainne mcloughlin,Gráinne McLoughlin,Councillor,Wicklow County Council
grainne o carroll,Grainne O'Carroll,Assistant Secretaries or Equivalent Grades,"Department of Jobs, Enterprise and Innovation"
greg dempsey,Greg Dempsey,Assistant Secretary,Department of Health
greg kelly,Greg Kelly,Councillor,Dublin City Council
guss o connell,Guss O'Connell,Councillor,South Dublin County Council
harold hislop,Harold Hislop,Chief Inspector,Department of Education and Skills
hazel de nortuin,Hazel De Nortúin,Councillor,Dublin City Council
hazel sheridan,Hazel Sheridan,Specialist,"Department of Agriculture, Food and the Marine"
heather humphreys,Heather Humphreys,Minister,"Department of Arts, Heritage and the Gaeltacht"
helena kiely,Helena Kiely,Chief Prosecution Solicitor,The Office of the Director of Public Prosecutions
helen dixon,Helen Dixon,Commissioner,The Office of the Data Protection Commissioner
helen faughnan,Helen Faughnan,Assistant Secretary,Department of Social Protection
helen mcentee,Helen McEntee,Minister of State,Department of Health
henry cremin,Henry Cremin,Councillor,Cork City Council
henry kenny,Henry Kenny,Councillor,Mayo County Council
hilary murphy-fagan,Hilary Murphy-Fagan,Chief Executive Officer,Department of Public Expenditure and Reform
hildegarde naughton,Hildegarde Naughton,Senator,Seanad
howard mahony,Howard Mahony,Councillor,Fingal County Council
hubert keaney,Hubert Keaney,Councillor,Sligo County Council
hugh hogan,Hugh Hogan,Head of Unit,South Dublin County Council
hughie mcgrath,Hughie McGrath,Councillor,Tipperary County Council
hugh lewis,Hugh Lewis,Councillor,Dun Laoghaire-Rathdown County Council
hugh mcelvaney,Hugh McElvaney,Councillor,Monaghan County Council
ian doyle,Ian Doyle,Councillor,Cork County Council
ian lynch,Ian Lynch,Councillor,Clare County Council
ian mcgarvey,Ian McGarvey,Councillor,Donegal County Council
ide cussen,Ide Cussen,Councillor,Kildare County Council
imelda goldsboro,Imelda Goldsboro,Councillor,Tipperary County Council
imelda henry,Imelda Henry,Senator,Seanad
imelda munster,Imelda Munster,Councillor,Louth County council
irene winters,Irene Winters,Councillor,Wicklow County Council
irish national immigration service,Irish National Immigration Service,Director,Department of Justice and Equality
ivana bacik,Ivana Bacik,Senator,Seanad
ivan canning,Ivan Canning,Councillor,Galway County Council
ivan connaughtan,Ivan Connaughtan,Councillor,Roscommon County Council
ivan grimes,Ivan Grimes,Director of Services or Equivalent,Waterford and City Council
ivan keatley,Ivan Keatley,Councillor,Kildare County Council
jack chambers,Jack Chambers,Councillor,Fingal County Council
jackie cahill,Jackie Cahill,Councillor,Tipperary County Council
jackie crowe,Jackie Crowe,Councillor,Monaghan County Council
jackie maguire,Jackie Maguire,Chief Executive Officer,Meath County Council
jack murray,Jack Murray,Councillor,Donegal County Council
jack wall,Jack Wall,TD,"Dáil Éireann, the Oireachtas"
jacqui mccrum,Jacqui McCrum,Director General,The Office of the Ombudsman
james bannon,James Bannon,TD,"Dáil Éireann, the Oireachtas"
james breen,James Breen,Councillor,Clare County Council
james breslin,James Breslin,Secretary General,Department of Health
james browne,James Browne,Councillor,Wexford County Council
james charity,James Charity,Councillor,Galway County Council
james choiseul,James Choiseul,Head of Agricultural Laboratories,"Department of Agriculture, Food and the Marine"
james collins,James Collins,Councillor,Limerick City and County Council
james fogarty,James Fogarty,Director of Services or Equivalent,Cork County Council
james heffernan,James Heffernan,Senator,Seanad
james kelly,James Kelly,Councillor,Laois County Council
james kingston,James Kingston,Legal Adviser,Department of Foreign Affairs and Trade
james lawless,James Lawless,Councillor,Kildare County Council
james martin,James Martin,Assistant Secretary,Department of Justice and Equality
james odonovan,James ODonovan,Councillor,Cork County Council
james pat mcdaid,James Pat McDaid,Councillor,Donegal County Council
james reilly,James Reilly,Minister,Department of Children and Youth Affairs
james ruttle,James Ruttle,Councillor,Wicklow County Council
james tobin,James Tobin,Councillor,Waterford and City Council
jane horgan-jones,Jane Horgan-Jones,Councillor,Dublin City Council
janice boylan,Janice Boylan,Councillor,Dublin City Council
jan o sullivan,Jan O'Sullivan,Minister,Department of Education and Skills
jarlath munnelly,Jarlath Munnelly,Councillor,Mayo County Council
jason murphy,Jason Murphy,Councillor,Waterford and City Council
jennifer cuffe,Jennifer Cuffe,Councillor,Dun Laoghaire-Rathdown County Council
jennifer green,Jennifer Green,Councillor,Louth County council
jennifer murnane o connor,Jennifer Murnane O'Connor,Councillor,Carlow County Council
jennifer whitmore,Jennifer Whitmore,Councillor,Wicklow County Council
jenny anderson,Jenny Anderson,Adviser to Minister,Department of Health
jerome scanlan,Jerome Scanlan,Councillor,Limerick City and County Council
jerry buttimer,Jerry Buttimer,Senator,Seanad
jerry lodge,Jerry Lodge,Councillor,Laois County Council
jerry lundy,Jerry Lundy,Councillor,Sligo County Council
jerry o connor,Jerry O'Connor,Special Adviser,Department of Children and Youth Affairs
jerry o dea,Jerry O'Dea,Councillor,Limerick City and County Council
jillian van turnhout,Jillian van Turnhout,Senator,Seanad
jim cuddy,Jim Cuddy,Councillor,Galway County Council
jim cullen,Jim Cullen,Director of Services or Equivalent,Galway County Council
jim daly,Jim Daly,TD,"Dáil Éireann, the Oireachtas"
jim d arcy,Jim D'Arcy,Senator,Seanad
jim deane,Jim Deane,Councillor,Carlow County Council
jim finucane,Jim Finucane,Councillor,Kerry County Council
jim gildea,Jim Gildea,Councillor,Dun Laoghaire-Rathdown County Council
jim griffin,Jim Griffin,Councillor,Waterford and City Council
jim holloway,Jim Holloway,Councillor,Meath County Council
jim keogan,Jim Keogan,Director of Services or Equivalent,Dublin City Council
jim loughran,Jim Loughran,Councillor,Louth County council
jim mcgrath,Jim McGrath,Special Adviser,"Department of Jobs, Enterprise and Innovation"
jim moore,Jim Moore,Councillor,Wexford County Council
jimmy deenihan,Jimmy Deenihan,Minister of State,Department of Foreign Affairs and Trade
jimmy guerin,Jimmy Guerin,Councillor,Fingal County Council
jimmy harte,Jimmy Harte,Senator,Seanad
jimmy kavanagh,Jimmy Kavanagh,Councillor,Donegal County Council
jimmy mclearn,Jimmy McLearn,Councillor,Galway County Council
jimmy moloney,Jimmy Moloney,Councillor,Kerry County Council
jim o callaghan,Jim O'Callaghan,Councillor,Dublin City Council
jim ruttle,Jim Ruttle,Councillor,Wicklow County Council
jim ryan,Jim Ryan,Councillor,Tipperary County Council
jim tenanty,Jim Tenanty,Councillor,Louth County council
jim walsh,Jim Walsh,Senator,Seanad
joan burton,Joan Burton,Tánaiste and Minister,Department of Social Protection
joan collins,Joan Collins,TD,"Dáil Éireann, the Oireachtas"
joan freeman,Joan Freeman,Senator,Seanad
joan gordan,Joan Gordan,Director,Department of Social Protection
joan gordon,Joan Gordon,Director,Department of Social Protection
joan martin,Joan Martin,Chief Executive Officer,Louth County council
joanna tuffy,Joanna Tuffy,TD,"Dáil Éireann, the Oireachtas"
joanne grehan,Joanne Grehan,Director of Services or Equivalent,Mayo County Council
joanne lonergan,Joanne Lonergan,Special Adviser,Department of Health
joanne pender,Joanne Pender,Councillor,Kildare County Council
joe behan,Joe Behan,Councillor,Wicklow County Council
joe boland,Joe Boland,Director of Services or Equivalent,Kildare County Council
joe bonner,Joe Bonner,Councillor,Meath County Council
joe bourke,Joe Bourke,Councillor,Tipperary County Council
joe byrne,Joe Byrne,Councillor,Galway County Council
joe carey,Joe Carey,TD,"Dáil Éireann, the Oireachtas"
joe carroll,Joe Carroll,Councillor,Cork County Council
joe conway,Joe Conway,Councillor,Waterford and City Council
joe cooney,Joe Cooney,Councillor,Clare County Council
joe costello,Joe Costello,TD,"Dáil Éireann, the Oireachtas"
joe crowley,Joe Crowley,Councillor,Limerick City and County Council
joe fox,Joe Fox,Councillor,Meath County Council
joe hackett,Joe Hackett,Assistant Secretaries or Equivalent Grades,Department of Foreign Affairs and Trade
joe hannigan,Joe Hannigan,Councillor,Tipperary County Council
joe harris,Joe Harris,Councillor,Cork County Council
joe higgins,Joe Higgins,TD,"Dáil Éireann, the Oireachtas"
joe howley,Joe Howley,Assistant Secretaries or Equivalent Grades,The Office of the Revenue Commissioners
joe kavanagh,Joe Kavanagh,Councillor,Cork City Council
joe kelly,Joe Kelly,Councillor,Waterford and City Council
joe lane,Joe Lane,Director of Services or Equivalent,Wicklow County Council
joe leddin,Joe Leddin,Councillor,Limerick City and County Council
joe loftus,Joe Loftus,Director of Services or Equivalent,Mayo County Council
joe malone,Joe Malone,Councillor,Kilkenny County Council
joe mcgrath,Joe McGrath,Chief Executive Officer,Tipperary County Council
joe mcguinness,Joe McGuinness,Director of Services or Equivalent,Louth County council
joe mchugh,Joe McHugh,Minister of State,"Department of Arts, Heritage and the Gaeltacht"
joe mcloughlin,Joe McLoughlin,Director of Services or Equivalent,Cavan County Council
joe neville,Joe Neville,Councillor,Kildare County Council
joe newman,Joe Newman,Councillor,Fingal County Council
joe o neill,Joe O'Neill,Director of Services or Equivalent,Galway City Council
joe o reilly,Joe O'Reilly,Senator,Seanad
joe peoples,Joe Peoples,Director of Services or Equivalent,Donegal County Council
joe pond,Joe Pond,Councillor,Limerick City and County Council
joe reilly,Joe Reilly,Councillor,Meath County Council
joe sullivan,Joe Sullivan,Councillor,Wexford County Council
john bailey,John Bailey,Councillor,Dun Laoghaire-Rathdown County Council
john brady,John Brady,Councillor,Wicklow County Council
john brannigan,John Brannigan,Director of Services or Equivalent,Longford County Council
john brassil,John Brassil,Councillor,Kerry County Council
john breen,John Breen,Director of Services or Equivalent,Kerry County Council
john brennan,John Brennan,Councillor,Kilkenny County Council
john browne,John Browne,Councillor,Longford County Council
john buttimer,John Buttimer,Councillor,Cork City Council
john callinan,John Callinan,Assistant Secretary,Department of the Taoiseach
john campbell,John Campbell,Councillor,Donegal County Council
john carey,John Carey,Councillor,Waterford and City Council
john carley,John Carley,Director of Services or Equivalent,Wexford County Council
john carroll,John Carroll,Councillor,Offaly County Council
john cassin,John Cassin,Councillor,Carlow County Council
john caulfield,John Caulfield,Councillor,Mayo County Council
john clendennen,John Clendennen,Councillor,Offaly County Council
john collins,John Collins,Councillor,Cork County Council
john concannon,John Concannon,Director,"Department of Arts, Heritage and the Gaeltacht"
john conlan,John Conlan,Chief Financial Officer,Department of Foreign Affairs and Trade
john conlon,John Conlon,Assistant Secretary,Department of Social Protection
john costello,John Costello,Councillor,Limerick City and County Council
john coughlan,John Coughlan,Special Adviser,Department of Defence
john coyle,John Coyle,Head of Directorate,The Courts Service
john cribbin,John Cribbin,Councillor,Mayo County Council
john crosse,John Crosse,Councillor,Tipperary County Council
john crowe,John Crowe,Councillor,Clare County Council
john crown,John Crown,Senator,Seanad
john cummins,John Cummins,Councillor,Roscommon County Council
john curran,John Curran,TD,"Dáil Éireann, the Oireachtas"
john deasy,John Deasy,TD,"Dáil Éireann, the Oireachtas"
john dolan,John Dolan,Councillor,Westmeath County Council
john duffy,John Duffy,Councillor,Longford County Council
john fahey,John Fahey,Councillor,Tipperary County Council
john fearon,John Fearon,Assistant Secretary,"Department of Transport, Tourism and Sport"
john flanagan,John Flanagan,Director of Services or Equivalent,Dublin City Council
john fleming,John Fleming,Councillor,Wexford County Council
john foley,John Foley,Councillor,Offaly County Council
john francis flynn,John Francis Flynn,Councillor,Kerry County Council
john gilligan,John Gilligan,Councillor,Limerick City and County Council
john gilroy,John Gilroy,Senator,Seanad
john hallahan,John Hallahan,Head of Finance,Cork City Council
