"Id","Name","Address","County","Country","Phone","Website","Activities","PersonResponsibleName","PersonResponsibleEmail","PersonResponsibleTelephone","Email","CompanyRegistrationNumber","CompanyRegisteredName","CompanyRegisteredAddress","CharityRegulationNumber","CHYNumber"
"1337","De La Salle Scout Group","St Stephen Street School, Patrick Street, Waterford, Waterford","Waterford","Ireland","0858393691","www.dlscouts.ie","Other (Scouting group)","Elaine Hayes","groupleader@dlscouts.ie","0872138301",,,,,,
"177","DeafHear","35 North Frederick Street, Dublin 1, Dublin, 1, Dublin","Dublin","Ireland","018175700","www.deafhear.ie","Other (Charity)","Brendan Lennon","brendan.lennon@deafhear.ie","0868171583",,"21627","THE NATIONAL ASSOCIATION FOR THE DEAF","35, NORTH FREDERICK STREET, DUBLIN 1.  ","CHY 5633",
"528","DEBRA Ireland","8 Clanwilliam Terrace, Grand Canal Quay, Dublin, Dublin 2",,"Ireland","01 4126924","www.debraireland.org","Other (patient organisation)","Avril Kennan","avril@debraireland.org","01 412 6924",,"141279","DEBRA IRELAND","BUTTERFLY COTTAGE, 8 CLANWILLIAM TERRACE GRAND CANAL QUAY DUBLIN 2 ",,"8703"
"1098","Debt and Development Coalition Ireland","F5 Spade Enterprise Centre, North King Street, Dublin 7, Dublin","Dublin","Ireland","0035316174835","http://www.debtireland.org/","Other (Global Financial Justice NGO)","Maeve Bateman","maeve@debtireland.org","0872069017",,,"Debt and Development Coalition Ireland","Dalgan Park Navan County Meath",,
"809","Decideum Ltd","Niddry Lodge, 51 Holland Park Street, London, W8 7JB",,"United Kingdom","+442073681611","www.decideum.com","Lobbying","Andrew Greaves","andrew.greaves@decideum.com","+442073681611",,,,,,
"1964","Declan Carty","2, St John's Wood, St John's Rd, Sandymount, D04 RK19, Dublin","Dublin","Ireland","0872648689",,"Lobbying",,"declancarty@gmail.com",,,,,,,
"794","Declan O'Toole & Co., Solicitors","Holbar House, East Douglas Village, Douglas, Cork, Cork","Cork","Ireland","0214895371","www.dotlaw.ie","Other (Solicitors)","Declan O'Toole","dotlaw@dotlaw.ie","0214895371",,,,,,
"1843","Deerpark and Claremont Residents Association","94A Howth Road, Howth, Dublin, 13, Dublin","Dublin","Ireland","0872300315","www.savebaltraypark.com","Other (Community group)","Tom Fitzpatrick","tomfitzpatrickfmb@gmail.com","0862562157",,,,,,
"1633","Deirdre Greally","Roscam, Galway, Galway","Galway","Ireland","Not published",,"Other (Farming)",,"deirdregreally@eircom.net",,,,,,,
"1797","Dell Products","Company Registered Address: 70 Sir John Rogerson???s Quay, Dublin, Dublin","Dublin","Ireland","+32474882072","www.dell.ie","Communications/Electronics","William Parker","william_parker@dell.com","+32474882072",,"191034","DELL PRODUCTS","70  SIR JOHN ROGERSON'S QUAY DUBLIN  2 IRELAND ",,
"476","Deloitte Ireland","Deloitte & Touche House, Earlsfort Terrace, Dublin 2, Dublin, Dublin","Dublin","Ireland","01 417 2200","www.deloitte.ie","Other (Chartered Accountants)","Brendan Sheridan","bsheridan@deloitte.ie","01 4172357",,,,,,
"1904","Denis O'Brien Developments (Cork) Ltd","Doughcloyne House, Vicars Road, Tougher, Cork","Cork","Ireland","0879119809",,"Construction","Shane Keogh","shane@dobdevelopments.ie","0879119809",,,"Denis O'Brien Developments (Cork) Ltd","Doughcloyne House, Vicars Road, Tougher, Cork",,
"576","Depaul","18 Nicholas Street, Christchurch, Dublin, 8, Dublin","Dublin","Ireland","01-4537111","www.depaulireland.org","Other (Supporting the Homeless)","Christine Littlefield","christine.littlefield@depaulireland.org","01-4537111",,,"Depaul Ireland","18 Nicholas Street, Christchurch, Dublin 8","CHY14753","CHY14753"
"1658","Derek Whyte","Great Connell, Newbridge, Kildare","Kildare","Ireland","0866001194",,"Construction",,"derekpwhyte@gmail.com",,,,,,,
"1741","Dermot Byrne & Associates Ltd","Larch House, 44 Northumberland Avenue, Dun Laoghaire, Dublin, Dublin","Dublin","Ireland","012808315",,"Finance","Dermot Byrne","dbyrnetax@eircom.net","012808315",,,"Dermot Byrne & Associates Ltd","44 Northumberland Avenue, Dun Laoghaire, Co. Dublin",,
"474","Dermot McDermott","Kiltipper Woods Care Centre, Kiltipper Road, Old Bawn, Dublin","Dublin","Ireland","0879876166",,"Health",,"dermot@kiltipperwoods.ie",,,,,,,
"963","Derrybeg Farm","Mooretown, Celbridge, Kildare","Kildare","Ireland","0879520262",,"Other (Community Farm)","Antoin McDermott","antoinmcdermott@gmail.com","0879520262",,,,,,
"1296","DFI Consulting","2nd Floor, 3 Farmhill Road, Clonskeagh, Dublin, 14, Dublin","Dublin","Ireland","0857286818","www.dficonsulting.ie","Finance","Stephen Curtis","stephen.curtis@dficonsulting.ie","0857286818",,"561463","DFI CONSULTING LIMITED","3 FARMHILL ROAD GOATSTOWN DUBLIN 14 ",,
"441","DHR Communications","80 Francis Street, Dublin 8, Dublin, Dublin","Dublin","Ireland","01 4200580","www.dhr.ie","Other (Full-service PR agency)","Catherine Heaney","catherine@dhr.ie","01 4200580",,"390728","DHR COMMUNICATIONS LIMITED","2 DRUMMARTIN ROAD GOATSTOWN DUBLIN 14 ",,
"1286","Diabetes Ireland","19 Northwood House, Northwood Business Campus, Santry, Dublin, 11, Dublin","Dublin","Ireland","01 8428118","www.diabetes.ie","Health","KIERAN","kieran.oleary@diabetes.ie","01 8428118",,,,,,
"658","Diageo Ireland","St James Gate, Dublin 8, Dublin, Dublin","Dublin","Ireland","01 471 2474","www.diageo.com","Other (Alcohol Producer)","Constance Balsamo","constance.balsamo@diageo.com","01 471 2474",,"22876","DIAGEO IRELAND","ST. JAMES' S GATE, DUBLIN 8.  ",,
"985","Digital Training Institute","209 Business Innovation Centre, NUI Galway, University Road, Galway, Galway","Galway","Ireland","0876237373","www.digitaltraining.ie","Communications/Electronics","Joanne Sweeney-Burke","joanne@digitaltraining.ie","0876237373",,"506693","DIGITAL TRAINING INSTITUTE","UNIT 209 BUSINESS INNOVATION CENTRE NUI GALWAY UNIVERSITY ROAD GALWAY",,
"859","Dignity4Patients","First Floor Office Suites, 29 Park Heights, Grange Rath, Drogheda, Meath","Meath","Ireland","041 9845761","dignity4patients.org","Other (Dignity 4 Patients is a patient support and advocacy organisation. We work with people who have suffered sexual assault or inappropriate sexual behaviour whilst a patient in a medical or therapeutic setting.)","Bernadette Sullivan","director@dignity4patients.org","0419845761",,"481850","DIGNITY 4 PATIENTS LIMITED","FIRST FLOOR SUITE 29 GRANGERATH PARK HEIGHTS GRANGERATH DROGHEDA CO. MEATH","19093",
"1020","Disability Federation of Ireland","Fumbally Court, Fumbally Lane, Dublin 8, Dublin, D08 TXY8, Dublin","Dublin","Ireland","01 4547978","www.disability-federation.ie","Other (The main object of DFI ""is to benefit the community by supporting the contribution, protecting the rights and valuing the roles of persons with disabilities and disabling conditions in its community and encouraging their fullest participation in shaping a society that promotes the wellbeing and quality of life of such persons.""  The main object is further supported by the principles enshrined in the United Nations Universal Declaration of Human Rights, 1948, and the United Nations Convention on the Rights of Persons with Disabilities, 2006.)","John Dolan","johndolan@disability-federation.ie","01 4547978",,"140948","DISABILITY FEDERATION OF IRELAND","FUMBALLY COURT FUMBALLY LANE DUBLIN 8 IRELAND","20010584","6177"
"912","Disabled Drivers Association of Ireland","Ballindine, Claremorris, F12VK03, Mayo","Mayo","Ireland","0949364054","www.ddai.ie","Other (Association supporting disabled persons)","Kenneth Fox","gov@ddai.ie","0872445984",,"33290","DISABLED DRIVERS ASSOCIATION OF IRELAND","LUGALISHEEN NORTH BALLINDINE CLAREMORRIS CO. MAYO","20011536","6384"
"398","DIT Students' Union Ltd","DIT Bolton Street, Dublin, Dublin 1, Dublin","Dublin","Ireland","0868112160","www.ditsu.ie","Other (Representing Interest of Students in DIT)","Pat Kearney","pat.kearney@ditsu.ie","0868112160",,"109412","DUBLIN INSTITUTE OF TECHNOLOGY STUDENTS UNION LIMITED","STUDENTS' UNION DIT BOLTON STREET DUBLIN 1 ",,
"1388","DLR Properties Ltd.","Block AA (Building 1), Cherrywood Business Park, Cherrywood, Dublin","Dublin","Ireland","016854811","www.cherrywood.ie","Other (Property Development & Investment)","Derek Brady","derekjbrady@gmail.com","0868205503",,"477588","DLR PROPERTIES LIMITED","BLOCK AA CHERRYWOOD BUSINESS PARK BRAY ROAD FOXROCK, DUBLIN 18",,
"1301","DMMorris LTD","Unit 1 Newtown business park, Co Wicklow, Wicklow, Wicklow, Wicklow, Wicklow","Wicklow","Ireland","0862255769",,"Construction",,"davemmorris@gmail.com",,,,,,,
"629","DNG","Leeson Park, Ranelagh, Dublin 6, Dublin","Dublin","Ireland","014912653","www.dng.ie","Other (Estate Agency)","Keith Lowe","Alan.fitzgerald@dng.ie","014912653",,,,,,
"220","DOCHAS - THE IRISH ASSOCIATION OF NON- GOVERNMENTAL DEVELOPMENT ORGANISATIONS","1-2 Baggot Court, Lr. Baggot Street, Dublin, D02 NP23, Dublin","Dublin","Ireland","+353 (0)1 4053801","www.dochas.ie","Other (Relief of poverty or economic hardship)","Suzanne Keatinge","suzanne@dochas.ie","014053801",,"94384","DOCHAS - THE IRISH ASSOCIATION OF NON- GOVERNMENTAL DEVELOPMENT ORGANISATIONS","1 - 2 BAGGOT COURT LOWER BAGGOT STREET DUBLIN 2 ","20011680","CHY6410"
"1525","Docklands Business Forum","Centre Block, Docklands Innovation Park, 128 - 130 East Wall Road, Dublin, DO3 X316, Dublin","Dublin","Ireland","0868126379","www.docklandsbusinessforum.ie","Other (We are a voluntary association of businesses in the Dublin area.)","Alan Robinson","alan@docklandsbusinessforum.ie","0868126379",,,,,,
"138","Dogs Trust","Old Ashbourne Rd, Finglas, Dublin 11, N/A, Dublin","Dublin","Ireland","018791831","www.dogstrust.ie","Other (Animal Welfare Charity)","Suzie Carley","suzie.carley@dogstrust.ie","018791831",,"396919","DOGS TRUST COMPANY LIMITED BY GUARANTEE","DOGS TRUST REHOMING CENTRE, ASHBOURNE ROAD, FINGLAS, DUBLIN 11.","20057978","CHY16218"
"1400","Domestic Violence Advocacy Service, Sligo, Leitrim and West Cavan.","Private address, available on request, Sligo, Sligo, Sligo, Sligo","Sligo","Ireland","071 9141515","www.domesticviolence.ie","Other (Domestic Violence Service)","Niamh Wilson","niamh@dvas.ie","071 9141515",,,"Domestic Violence Advocacy Service, Sligo, Leitrim and West Cavan","Private address, available on request","20054366","15625"
"1382","Dominic's Community Centre Ltd.,","60 & 60A Avonbeg Gardens, Tallaght, Dublin 24, Tallaght, D24 KW58, Dublin","Dublin","Ireland","014590770","www.dominicscc.com","Other (Community Centre)","Deirdre Cleary","manager@dominicscc.com","0857537031",,"270288","DOMINIC'S COMMUNITY CENTRE LIMITED","60/60A, AVONBEG GARDENS, TALLAGHT, DUBLIN 24. ","20035709","12299"
"802","Dominic Hartigan","Rockfield Cottage,, Banktown, Baltray, Drogheda, A92 VY36, Louth","Louth","Ireland","+353149883681",,"Other (Natural & Built Environment Conservation & Development.)",,"banktown.dom@gmail.com",,,,,,,
"1730","Dominidesign Furniture LTD","THE BLACK CHURCH ST. MARY'S PLACE, Dublin, D07 P4AX, Dublin","Dublin","Ireland","+31626963058","dominidesign.com","Other (online retail)","Hella Eland","hellamoose@live.nl","+31626963058",,"592011","DOMINIDESIGN FURNITURE LIMITED","THE BLACK CHURCH ST. MARY'S PLACE DUBLIN D07 P4AX ",,
"1617","Donal kenny","Cakkickobrien, Athlone, County Westmeath, Athone, Westmeath","Westmeath","Ireland","0868209208",,"Construction",,"dkennytyres@hotmail.com",,,,,,,
"1583","Donald Ogilvy Watson","Monalin House, Newtownmountkennedy, Wicklow","Wicklow","Ireland","0872547933",,"Agribusiness",,"davidnewsome@monalin.ie",,,,,,,
"1428","Donegal SPCA","Donegal SPCA Animal Rehabilitation Centre, Barrack, Ramelton, F92V3Y1, Donegal","Donegal","Ireland","0866054943","http://www.donegalspca.ie/","Other (Animal Welfare Charity)","Kathleen Murray","kathleenmurray_96@hotmail.com","0863192247",,"566048","DONEGAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS COMPANY LIMITED BY GUARANTEE","BALLYBOES CREESLOUGH CO. DONEGAL ","20032678","11698"
"1702","Donegal Youth Service","16-18 Port Road, Letterkenny, Donegal","Donegal","Ireland","074 9129630","www.donegalyouthservice.ie","Other (Youth Work)","Lorraine Thompson","lorraine.thompson@donegalyouthservice.ie","074 92129630",,,"Donegal Youth Service LTD","16-18 Port Road, Letterkenny, Co Donegal","20050696","CHY15027"
"1914","Doras Luimn??","Central Buildings, 51a O'Connell Street, Limerick, V94K59A, Limerick","Limerick","Ireland","061310328","www.dorasluimni.org","Other (Migrant support & advice)","Leonie Kerins","info@dorasluimni.org","061310328",,"335696","DORAS LUIMNI COMPANY LIMITED BY GUARANTEE","51A O'CONNELL STREET LIMERICK  ",,"CHY 14956"
"647","Douglas Hyde","134 georgian village, Castleknock, dublin 15, Dublin 1",,"Ireland","0861716045",,"Other (I am a professional town planner)",,"mdthyde@gmail.com",,,,,,,
"700","Douglas Law Solicitors","2 Barryhouse, East Village, Douglas, T12 HHT2, Cork","Cork","Ireland","021 4897256","www.douglaslawsolicitors.ie","Other (Legal Services)","Teresa O'Sullivan","teresa@douglaslawsolicitors.ie","021 4897256",,,,,,
"1941","Dovea Genetics Ltd","Dovea, Thurles, E41FH28, Tipperary","Tipperary","Ireland","050421755","www.dovea.ie","Agribusiness","Ger Ryan","gryan@doveagenetics.ie","050421755",,"284374","DOVEA GENETICS LIMITED","C/O SOUTH EASTERN CATTLE BREEDING SOCIETY LIMITED DOVEA THURLES CO. TIPPERARY",,
"2017","Down Syndrome Centre Midlands","27 Clonboyne Close, Bellingham, Portlaoise, Laois","Laois","Ireland","00353879377049",,"Other (Charity)","Annemarie Fitzpatrick","dscmidlands@gmail.com","00353879377049",,,"Midlands Down Syndrome Centre CLG","The Laurels Broomville Dublin Road Portlaoise","20150549","21846"
"345","Down Syndrome Ireland","Citylink Business Park, Old Naas Road, Dublin, 12, Dublin","Dublin","Ireland","+35314266500","www.downsyndrome.ie","Other (Lobbying for better resources for people with Down syndrome)","Pat Clarke","pat@downsyndrome.ie","+35314266500",,,"Down Syndrome Ireland",,,"6062"
"827","Downey Planning","No.1 Westland Square, Pearse Street, Dublin, D1, Dublin","Dublin","Ireland","01-2530220","www.downeyplanning.ie","Other (Chartered Town Planners and Architects)","John Downey","john.downey@downeyplanning.ie","01-2530220",,"474793","DOWNEY BROS. INTERNATIONAL LIMITED","1 WESTLAND SQUARE PEARSE STREET DUBLIN 2 ",,
"1166","DP Energy Ireland Ltd","Mill House, Buttevant, P51 TN35, Cork","Cork","Ireland","02223955","www.dpenergy.com","Energy & Natural Resources","Simon De Pietro","simon.depietro@dpenergy.com","02223955",,"345411","D P ENERGY IRELAND LIMITED","MILL HOUSE BUTTEVANT CO. CORK. ",,
"1742","Dr Padraic Kenna","Law School, NUI Galway, Galway, Galway","Galway","Ireland","Not published",,"Other (academic research)",,"padraic.kenna@nuigalway.ie",,,,,,,
"889","Drinks Industry Group of Ireland","Anglesea House, Anglesea Road, Ballsbridge, Dublin, D04 V094, Dublin","Dublin","Ireland","016680215","www.drinksindustry.ie","Industry body","Donall O'Keeffe","admin@lva.ie","016680215",,,,,,
"1995","Dromahair Arts and Recreation Centre Association Limited by Guarantee","Station Road, Dromahair, F91 CD66, Leitrim","Leitrim","Ireland","0868583646","dromahairarc.com","Other (Sports & Recreation Facilities)","Jim Meehan","jim.meehan@yahoo.ie","0862331593",,"500349","DROMAHAIR ARTS & RECREATION CENTRE ASSOCIATION COMPANY LIMITED BY GUARANTEE","STATION ROAD DROMAHAIR CO. LEITRIM ",,
"1563","Dromcollogher Community Council","Pike Street, Dromcollogher, Co. Limerick, Dromcollogher, Limerick","Limerick","Ireland","0868218871",,"Other (local community projects and events)","John O'Dell","Dromcouncil@gmail.com","0868218871",,,,,,
"1481","Druid Performing Arts","Flood Street, Galway, Galway, H91PWX5, Galway","Galway","Ireland","091 568660","www.druid.ie","Other (Theatre)","Feargal Hynes","feargal.hynes@druid.ie","0863674455",,"120786","DRUID PERFORMING ARTS LIMITED","CHAPEL LANE GALWAY  ",,"6800"
"139","Drury | Porter Novelli","17a Gilford Rd, Sandymount, Dublin, D04 K4XO, Dublin","Dublin","Ireland","012605000","www.drurypn.ie","Other (Public Relations and Public Affairs)","Gerry Naughton","gerry.naughton@drurypn.ie","2605000",,,"Drury Communications Limited trading as Drury | Porter Novelli","17 a Gilford Rd , Sandymount, Dublin D04 K4XO",,
"1490","Dubco Credit Union Limited","Little Green Street, Dublin 7, Dublin","Dublin","Ireland","018870400","www.dubco.ie","Other (Credit Union)","Michael Ahern","michael.ahern@dubco.ie","018870400",,,,,,
"1329","Dublin 15 Community Council","Buzzardstown House, Castlecurragh, Mulhuddart, Mulhuddart, D15Y361, Dublin","Dublin","Ireland","0863618766","www.dublin15cc.com","Other (Community Council)","Cecilia Durnin","celia.durnin@gmail.com","0863618766",,,,,,
"806","Dublin Adult Learning Centre","3 Mountjoy Square, Dublin 1, Dublin, 1, Dublin","Dublin","Ireland","018787266","www.dalc.ie","Other (provision of basic education services)","Mary Maher","marymaher@dalc.ie","018787266",,"276151","DUBLIN ADULT LEARNING CENTRE","3 MOUNTJOY SQUARE DUBLIN 1  ","20037635","12674"
"783","Dublin AIDS Alliance CLG trading as HIV Ireland","70 Eccles Street, Dublin, D07 A977, Dublin","Dublin","Ireland","01-8733799","www.hivireland.ie","Health","Niall Mulligan","niall.mulligan@hivireland.ie","01-8733799",,"206162","DUBLIN AIDS ALLIANCE COMPANY LIMITED BY GUARANTEE","70 ECCLES STREET DUBLIN 7  ",,"10858"
"465","Dublin Bus","59 Upper O'Connell Street, Dublin, Dublin 1, Dublin","Dublin","Ireland","017033131","www.dublinbus.ie","Other (Public Transport)","Jennifer O'Brien","jennifer.obrien@dublinbus.ie","017033131",,"119569","BUS ATHA CLIATH - DUBLIN BUS","59 UPPER O'CONNELL STREET, DUBLIN, 1  ",,
"85","Dublin Chamber of Commerce","7 Clare Street, Dublin, 2, Dublin","Dublin","Ireland","016447200","www.dublinchamber.ie","Industry body","Patrick King","patrick@dublinchamber.ie","016447227",,"588","DUBLIN CHAMBER OF COMMERCE (INCORPORATED)","7, CLARE STREET, DUBLIN 2.  ",,
"832","Dublin City Business Improvement District T/A DublinTown","Abbey House,, Level 1, 43-45 Middle Abbey Street, Dublin 1, Dublin 1, Dublin","Dublin","Ireland","016334680","www.wearedublintown.ie","Industry body","Richard Guiney","richard@dublintown.ie","0879661455",,,"DUBLIN CITY CENTRE BID COMPANY LIMITED","Abbey House, Level 1, 43-45 Middle Abbey Street, Dublin 1.","N/A","N/A"
"1347","Dublin City Buskers","75 Dame Street, 11-12 Crampton Court, Dublin 2, D02 X754, Dublin","Dublin","Ireland","+353874646303","www.dublincitybuskers.com","Other (Representative organisation)","Roibeard O Cadhain","director@dublincitybuskers.com","0867266519",,,,,,
"1907","Dublin City Interfaith Forum","c/o Rotunda Foundation, Pillar Room, Rotunda Hospital, Parnell Square, Dublin","Dublin","Ireland","015677174","https://www.dublincityinterfaithforum.org/","Other (Encourage people of different faiths in the Dublin area to dialogue, reflect and  work toget her in matters of policy, strategy and action.)","Adrian Cristea","adrian@dublincityinterfaithforum.org","0838003345",,"568329","DUBLIN CITY INTERFAITH FORUM COMPANY LIMITED BY GUARANTEE","CLONLIFFE COLLEGE CLONLIFFE ROAD DUBLIN 3 ","Pending",
"1846","Dublin Independent Host Network","2 ARNWOOD, BLACKHORSE AVENUE, DUBLIN 7, Dublin","Dublin","Ireland","086 8867234","Over 5 years","Other (Hospitality - Short Term Rentals)","Susan Brady","bradysusan8@gmail.com","086 8867234",,,,,,
"656","Dublin Inner City Community Cooperative Society Limited","22 Lower Buckingham Street, Dublin 1, Dublin, Dublin","Dublin","Ireland","0876909184","www.dublincitycommunitycoop.ie","Other (Community Development in Dublin's inner city, primarily Dublin 1,3, 7 and 8)","Noel Wardick","nwardick@dublincitycommunitycoop.ie","0876909184",,,"5628 R","22 Lower Buckingham Street Dublin 1",,
"78","Dublin International Insurance & Management Association (DIMA)","Pavilion House, 31/32 Fitzwilliam Square, Dublin, D2, Dublin","Dublin","Ireland","+35317759448","www.dima.ie","Industry body","Eddy Van Cutsem","eddy.vancutsem@dima.ie","+35317759448",,"394270","THE DUBLIN INTERNATIONAL INSURANCE & MANAGEMENT ASSOCIATION COMPANY LIMITED BY GUARANTEE","PAVILION HOUSE 31/32 FITZWILLIAM SQUARE DUBLIN 2 ",,
"677","Dublin North West Area Partnership","Rosehill House, Finglas Road, Finglas, 11, Dublin","Dublin","Ireland","01 8361666","www.dnwap.ie","Other (Local economic and social Inclusion)","Michael Bowe","michael.bowe@dnwap.ie","01 8361666",,"219145","DUBLIN NORTH WEST AREA PARTNERSHIP COMPANY LIMITED BY GUARANTEE","ROSEHILL HOUSE, FINGLAS ROAD, DUBLIN 11 ","11574","11574"
"152","Dublin Rape Crisis Centre","70 Lower Leeson Street, Dublin, D02 VW13, Dublin","Dublin","Ireland","01 6614911","www.drcc.ie","Other (Operate 24 Hr Helpline, Counselling, Training, Education, Awareness-Raising)","Noeline Blackwell","noeline@rcc.ie","01 6614911",,"147318","THE DUBLIN RAPE CRISIS CENTRE LIMITED","70 LOWER LEESON STREET DUBLIN 2  ","8529","8529"
"338","Dublin Simon Community","1-2 Cope street, Dublin, Dublin 2, Dublin, Dublin","Dublin","Ireland","016715363","www.dubsimon.ie","Other (Homeless, housing and treatement service provider)","Pat Greene","patgreene@dubsimon.ie","016715363",,"32955","DUBLIN SIMON COMMUNITY","1/2 COPE STREET DUBLIN 2  ","20009892","5963"
"588","Dublin Solicitors Bar Association","First Floor, 54 Dawson Street, Dublin 2, Dublin, Dublin","Dublin","Ireland","+353 (1) 6706 089","http://www.dsba.ie/","Other (The Dublin Solicitors Bar Association (""DSBA"") is a representational and not a regulatory organisation existing to promote the welfare and interests of its members, who are Solicitors.)","Eamonn Shannon - President","maura@dsba.ie","01 6706089",,,,,,
"1424","Dublin West Childcare & Learning Services CLG","Bawnogue Enterprise centre, Bawnogue Road, Clondalkin, Dublin 2, Dublin","Dublin","Ireland","014579355",,"Other (Provision of Community Early Years Education & Care)","Elaine Mc Quillan","manager@dublinwestchildcare.ie","0860486313",,"405583","DUBLIN WEST CHILDCARE AND LEARNING SERVICES COMPANY COMPANY LIMITED BY GUARANTEE","BAWNOGUE ENTERPRISE CENTRE BAWNOGUE ROAD CLONDALKIN DUBLIN 22","19199","19199"
"801","Dun Laoghaire Combined Clubs","21, Sandycove Ave East, Sandycove, Dun Laoghaire, A96 EH50, Dublin","Dublin","Ireland","0872434388",,"Other (Voluntary combination of six Dun Laoghaire waterfront clubs engaged in the promotion of the sport of sailing and watersports generally)","Liam Owens","liam.owens4@gmail.com","0872434388",,,,,,
"691","Dun Laoghaire Rathdown Chamber of Commerce","Kilcullen HOuse, 1 Haigh Terrace, Dun Laoghaire, Co. Dublin, A96 P6P8, Dublin","Dublin","Ireland","01/2845066","www.dlrchamber.ie","Other (Business to Business)","Gabby Mallon","gabby@dlrchamber.ie","01/2845066",,,"Dun Laoghaire Rathdown Chamber of Commerce","1 Haigh Terrace, Dun Laoghaire, Co. Dublin",,
"1812","Dundalk Chamber","Partnership Court, Park Street, Dundalk, Louth","Louth","Ireland","0868244098","www.dundalk.ie","Lobbying","Paddy Malone","paddy@malone.ie","0868244098",,,"Dundalk Chamber of Commerce Incorporated","Parnership Court, Dundalk Co. Louth",,
"910","Dundalk Institute of Technology","Dublin Road, Dundalk, A91K584, Louth","Louth","Ireland","0429370221","https://www.dkit.ie","Other (Third Level Education)","Gerald O Driscoll","gerald.odriscoll@dkit.ie","042970221",,,,,"20028824","CHY 10925"
"442","Dungarvan & West Waterford Chamber","Unit S32, The Plaza, Dungarvan, WD, Waterford","Waterford","Ireland","+353866043602","http://www.dungarvanchamber.ie/","Other (Supporting Business)","Jenny Beresford","jenny@dungarvanchamber.ie","+353866043602",,,"Dungarvan Chamber Of Commerce and Industry Limited","Unit S32, Block A, The Plaza, Dungarvan, Co. Waterford",,
"1278","Dyslexia Association of Ireland","5th Floor, Block B, Joyce's Court, Talbot Street, Dublin 1, Dublin, D01 C861, Dublin","Dublin","Ireland","Rosie Bissett","www.dyslexia.ie","Other (educational charity)","Rosie Bissett","ceo@dyslexia.ie","018776001",,"185795","DYSLEXIA ASSOCIATION OF IRELAND","5TH FLOOR BLOCK B JOYCE'S COURT TALBOT STREET DUBLIN 1","20025335","10044"
"1217","Dyspraxia Association of Ireland","Carmichael Centre, Nth.Brunswick Street, dublin, 7, Dublin","Dublin","Ireland","018747085","www.dyspraxia.ie","Health","harry conway","info@dyspraxia.ie","087 2257623",,,"Dyspraxia Association of Ireland","Carmichael Centre",,"13394"
"661","D??nall Geoghegan","33 St. Pappin's Green, Glasnevin, Dublin 11, D11 V1H5, Dublin","Dublin","Ireland","+353 87 222 5691",,"Lobbying",,"donallg@gmail.com",,,,,,,
"577","D??chas na Gaillimhe - Galway Civic Trust","Hall of the Red Earl, Custom House, Druid Lane, Galway, H91XV2C, Galway","Galway","Ireland","091 564946","http://www.galwaycivictrust.ie/","Other (Heritage, Education, Culture.)","Eugene Jordan","chair@galwaycivictrust.ie","+353863939584",,"208155","GALWAY CIVIC TRUST - DUCHAS NA GAILLIMHE","CUSTOM HOUSE DRUID LANE GALWAY ","20030704","CHY 11312"
"401","D??n Laoghaire Business Improvement District","101 Upper Georges Street, D??n Laoghaire, Dublin","Dublin","Ireland","01 9035327",,"Industry body","JP Montgomery","jp@dunlaoghaire.ie","019035327",,"533339","BID DL COMPANY LIMITED BY GUARANTEE","1 UPPER GEORGES STREET DUN LAOGHAIRE CO. DUBLIN ",,
"690","Early Childhood Ireland","Hainault House, Belgard Square South, Tallaght, D24 RFV0, Dublin","Dublin","Ireland","01 405 7100","www.earlychildhoodireland.ie","Other (The representative and support body for early childhood education and care in Ireland.)","Teresa Heeney","theeney@earlychildhoodireland.ie","01 405 7100",,"506235","ECCE & PLAY EARLY CHILDHOOD IRELAND","HAINAULT HOUSE BELGARD SQUARE SOUTH TALLAGHT DUBLIN 24","20078904","19987"
"631","EastWest Mapping","Clonegal, Enniscorthy, -, Wexford","Wexford","Ireland","0539377835","www.eastwestmapping.ie","Other (Cartography and map publishing)","Barry Dalby","info@eastwestmapping.ie","0539377835",,,,,,
"828","Eaton Corporation plc","Eaton House, 30 Pembroke Road, Dublin 4, Ballsbridge, D04 Y0C2, Dublin","Dublin","Ireland","+353(0)16372876","www.eaton.com","Manufacturing","Taras Szmagala","tarasgszmagala@eaton.com","+14405234502",,,"Eaton Corporation plc","Eaton House, 30 Pembroke Road, Dublin 4, Ireland",,
"686","Ecocem Ireland","Unit F1 East Point Office Park, Dublin, 3, Dublin","Dublin","Ireland","01 678 1800","http://www.ecocem.ie/","Manufacturing","Andrew McGrane","amcgrane@ecocem.ie","01 678 1800",,"282625","ECOCEM IRELAND LIMITED","BLOCK F1 EASTPOINT DUBLIN 3 ",,
"1873","ecohouse developments limited","unit 518A Grants Crescent, Greenogue Business Park, Rathcoole County Dublin, Dublin, Dublin","Dublin","Ireland","0868121765","www.ecohouse.ie","Construction","Fergus Lowndes","fergus@ecohouse.ie","0868121765",,"569973","ECOHOUSE DEVELOPMENTS LIMITED","UNIT 518A GRANTS CRESCENT GREENOGUE BUSINESS PARK RATHCOOLE DUBLIN 24",,
